days_since_sold,listing_price,bathrooms,parking_spaces,encoded_house_age,property_type_Common Element Condo,property_type_Condo Apartment,property_type_Condo Townhouse,property_type_Detached,property_type_House,property_type_Link,property_type_Others,property_type_SEMI-DETACHED,city_Aurora,city_Brampton,city_Brock,city_Burlington,city_Caledon,city_Clarington,city_Durham,city_Halton,city_Halton Hills,city_King,city_Markham,city_Mississauga,city_Oshawa,city_Peel,city_Pickering,city_Richmond Hill,city_Scugog,city_Vaughan,city_Whitby,city_Whitchurch-stouffville,city_York,sold_price
51.0,999900.0,3.0,8.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,945000.0
33.0,879900.0,3.0,6.0,5.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,855000.0
140.0,699900.0,2.0,7.0,6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,752602.0
74.0,735000.0,2.0,4.0,6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,715000.0
143.0,749900.0,3.0,3.0,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,725000.0
33.0,849900.0,2.0,7.0,5.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,825000.0
87.0,875000.0,2.0,4.0,6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,812000.0
35.0,699898.0,4.0,5.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,685000.0
88.0,935000.0,4.0,5.0,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,918000.0
7.0,939000.0,3.0,4.0,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,890000.0
40.0,995000.0,2.0,10.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,975000.0
147.0,930000.0,3.0,5.0,2.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,930000.0
131.0,814999.0,1.0,6.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,771125.0
63.0,839900.0,1.0,6.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,810000.0
154.0,1399000.0,3.0,14.0,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1375000.0
156.0,779000.0,2.0,4.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,745000.0
4.0,809000.0,2.0,7.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,800000.0
130.0,739900.0,2.0,5.0,5.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,750000.0
164.0,1269000.0,3.0,12.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1269000.0
75.0,1375000.0,3.0,13.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1320000.0
154.0,1126000.0,3.0,8.0,5.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1065000.0
138.0,759900.0,2.0,5.0,6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,745000.0
70.0,969000.0,3.0,6.0,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,957500.0
80.0,899000.0,3.0,6.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,919000.0
105.0,765000.0,1.0,7.0,-1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,750000.0
